Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
O14964	O14964		HGS		716882	540676	663962	1.34626e+06	1.22079e+06	771580	765463	564457	763086	678335
O14966	O14966		RAB29			194808				287590				
O14974	O14974		PPP1R12A		367469	416605	271491	242094	424152	226972	582798	546085	491123	273229
O14975	O14975		SLC27A2		1.61453e+06	3.75549e+06		2.50775e+06	591260	5.07148e+06	771178	3.07001e+06	859854	519911
O14976	O14976		GAK		1.11632e+06	1.75282e+06	770399	1.35185e+06	787971	1.44872e+06	1.30781e+06	817121	1.10248e+06	890626
O14979	O14979		HNRNPDL		662825	715380	556290	1.0699e+06	819562	1.08087e+06	653050	1.06403e+06	2.03213e+06	370383
O14980	O14980		XPO1		650183	406684	673708	531008	643795	340074	309387	528506	795288	354641
O15013	O15013		ARHGEF10		126890	70060.9	52154.1	141792	148016	217943	323842	317617	175646	634334
O15020	O15020		SPTBN2		1.45175e+06	1.10912e+06		1.76417e+06		930050			1.86523e+06	
O15027	O15027		SEC16A		942751	1.02834e+06	925067	845239	600242	734097	776890	1.21798e+06	1.05585e+06	621958
O15031	O15031		PLXNB2		4.31316e+06	4.62351e+06	1.86768e+06	3.90441e+06	2.18336e+06	5.17126e+06	3.23223e+06	4.76712e+06	4.09624e+06	2.26516e+06
O15067	O15067		PFAS		489913	720581	601568	367146	380711	1.71635e+06	238597	221167	231128	432023
O15075	O15075		DCLK1		214247	141406	217935	99813	1.36851e+06	138042	589444	296534	237099	750367
O15116	O15116		LSM1		1.15252e+06	1.26643e+06	454087	875657	1.31991e+06	831294	1.2386e+06	1.29864e+06	1.57504e+06	676193
O15117	O15117		FYB1		62993.3		60088.1		69662.3		68667.8	64425.7		108470
O15121	O15121		DEGS1				356365		349085			660384		
O15131	O15131		KPNA5				290540	506837			382198		548776	604908
O15143	O15143		ARPC1B		5.113e+06	3.84717e+06	6.22117e+06	3.13392e+06	6.25835e+06	3.53766e+06	3.87472e+06	5.82401e+06	4.36276e+06	9.96122e+06
O15144	O15144		ARPC2		6.98471e+06	6.44282e+06	7.1952e+06	5.08969e+06	8.41201e+06	4.53401e+06	3.55006e+06	7.72794e+06	6.26904e+06	5.05183e+06
O15145	O15145		ARPC3		518283	741025	452423	334466	932003	902015	977612	988822	811354	658972
O15173	O15173		PGRMC2				228496		331510		265399	1.18311e+06	175012	389358
O15198	O15198		SMAD9		2.04105e+06	1.59752e+06	1.08429e+06	1.79127e+06	1.42277e+06	1.34132e+06	242971	1.39927e+06	2.45982e+06	958616
O15229	O15229		KMO		348356	1.30049e+06	716654	624439	408970	697920		328696	205688	
O15230	O15230		LAMA5		6.5749e+06	4.90291e+06	2.25998e+06	6.00353e+06	6.95256e+06	5.20178e+06	9.18707e+06	6.50588e+06	6.3252e+06	3.43761e+06
O15231	O15231		ZNF185		194476	246469		126807	71708	54754.6	285162	96692.7	215028	56561.2
O15244	O15244		SLC22A2		1.74512e+06	3.73594e+06		3.34102e+06		5.351e+06		298043	660576	
O15247	O15247		CLIC2		2.13668e+06	1.22072e+06	682682	1.20457e+06	597537	1.25746e+06	1.98176e+06	918406	1.50887e+06	2.05053e+06
O15254	O15254		ACOX3		827580	476643				628983		1.32016e+06	693336	
O15260	O15260		SURF4		269446	940464	891100	490987	407161	674851	496486	1.09196e+06		
O15264	O15264		MAPK13		898478	519776	536737	482255	482477	336975	828183	1.07001e+06	690557	
O15269	O15269		SPTLC1		941393	993458	520565	1.09387e+06	251133	918824	1.10117e+06	790275	1.09441e+06	2.00222e+06
O15321	O15321		TM9SF1		1.20915e+06	1.19863e+06	1.67085e+06	967628	573004	993030	572348	1.67964e+06	783620	796667
O15344	O15344		MID1		80235.6		322695		358010		154441	263439	203912	
O15347	O15347		HMGB3		1.86615e+06	1.15598e+06	901106	872285	485237	1.06214e+06	421945	400917	1.42954e+06	736429
O15357	O15357		INPPL1		221038	310737	227488	355255	531832	329209	392488	308089	352727	267334
O15371	O15371		EIF3D		1.88656e+06	1.17483e+06	2.02601e+06	1.7349e+06	2.41427e+06	1.25522e+06	1.51408e+06	1.61875e+06	1.49869e+06	2.54785e+06
O15382	O15382		BCAT2		2.00578e+06	1.09763e+06	1.68366e+06	2.13147e+06	896998	816369	785665	902647	1.61502e+06	516828
O15400	O15400		STX7		1.84158e+06	2.62308e+06	1.37546e+06	2.36467e+06	2.14365e+06	1.98194e+06	1.6665e+06	2.60094e+06	1.64918e+06	1.69608e+06
O15417	O15417		TNRC18		85086.1		109060	31214		50716				
O15427	O15427		SLC16A3				1.65625e+06		764568		1.219e+06			1.65633e+06
O15438	O15438		ABCC3				605231		746943	306409		997794		429642
O15455	O15455		TLR3		170230	148729	205665		238243	52342.4	281312	214937	152553	340182
O15460	O15460		P4HA2			39840.1	305292	31626.6	165471	44241.5	70841.6	153345	29506.8	380736
O15504	O15504		NUP42		173312	58795.1		120275	190177		134353	78899.3	86957.5	
O15511	O15511		ARPC5		980462	824990	1.5966e+06	479209	1.16515e+06	1.09482e+06	1.2279e+06	1.37993e+06	815932	2.0231e+06
O15530	O15530		PDPK1		278405	271512	230607	394667	310437	296584	159857	492984	313067	119728
O15540	O15540		FABP7				2.45114e+06		6.56523e+07		6.04661e+07	5.49818e+07		
O43143	O43143		DHX15		1.72852e+06	2.01766e+06	3.25654e+06	2.4202e+06	2.45994e+06	1.87849e+06	4.4485e+06	3.43877e+06	4.37573e+06	4.25561e+06
O43166	O43166		SIPA1L1		124012	277691		181132	118048	315826		142892	219551	
O43172	O43172		PRPF4		1.14225e+06	879551	1.4063e+06	899731	1.49575e+06	646594	1.19203e+06	724155	1.07219e+06	2.01478e+06
O43175	O43175		PHGDH		3.19022e+06	5.26803e+06	613502	6.92822e+06	6.22007e+06	7.64386e+06	523889	1.37178e+06	5.16177e+06	1.42138e+06
O43181	O43181		NDUFS4		7.74591e+06	7.85103e+06	951652	8.43511e+06	989831	7.41653e+06	1.05155e+06	1.49229e+06	8.40149e+06	1.21191e+06
O43237	O43237		DYNC1LI2		1.54797e+06	2.20924e+06	2.13779e+06	1.66533e+06	2.21732e+06	1.98607e+06	2.31116e+06	3.23584e+06	1.99538e+06	2.08404e+06
