Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
Q8TDB6	Q8TDB6		DTX3L		6.09879e+06	1.34422e+06	5.56647e+06		1.85194e+06	652285		1.42506e+06	605564	2.55633e+06
Q8TDN6	Q8TDN6		BRIX1		115353	71784.9	205784	74995.6	243846	82160.8		317014	155134	254633
Q8TDQ7	Q8TDQ7		GNPDA2		1.30208e+06	936362	644833	1.28e+06	1.90776e+06	910300	2.44656e+06	1.43908e+06	1.02608e+06	679545
Q8TDX5	Q8TDX5		ACMSD		1.11759e+06	5.12568e+06	470079	3.00386e+06	363600	2.80724e+06	2.32043e+06	1.13591e+06	1.13996e+06	
Q8TDX7	Q8TDX7		NEK7		298363			203558	418123	113215		253062	321288	
Q8TE67	Q8TE67		EPS8L3				767523							
Q8TE77	Q8TE77		SSH3		495795	304227	213196	228236		240528	362478	364449	298108	276774
Q8TEA7	Q8TEA7		TBCK		81696.1	68306		142557	102387	145145		78215.8	63230.9	39543.2
Q8TEB1	Q8TEB1		DCAF11		579866	680777		634002	454994	624477	324278	482417	796752	
Q8TEH3	Q8TEH3		DENND1A			343189			230298	274624	278987	340523	257643	171174
Q8TEM1	Q8TEM1		NUP210		676649								389382	
Q8TEQ6	Q8TEQ6		GEMIN5		672787	274655	369364		867308	409827	685868	274230	268566	476394
Q8TEQ8	Q8TEQ8		PIGO		376970	467275	214002			309128	233684	536329	330372	
Q8TER5	Q8TER5		ARHGEF40		164982		170522	251134	223318		235445	198203	180149	
Q8TEW0	Q8TEW0		PARD3		258942	412325	519324	700947	485701	403350	345110	227929	512388	
Q8TEW8	Q8TEW8		PARD3B			658065		574759		567246				
Q8TEX9	Q8TEX9		IPO4		2.55258e+06	1.78652e+06	2.12894e+06	2.25105e+06	5.9524e+06	2.02676e+06	1.71279e+06	2.39954e+06	1.74567e+06	1.82207e+06
Q8TF05	Q8TF05		PPP4R1		126962	75252.2	265531	155058	152650	87271.2	256286	128066	102536	
Q8TF64	Q8TF64		GIPC3		473097	288164	295905	205833	273164	399350	543397	106762	340181	464699
Q8TF65	Q8TF65		GIPC2		959112	2.24154e+06	331519	2.04122e+06	667858	3.33438e+06	1.34009e+06	838096	1.25487e+06	574301
Q8WTW3	Q8WTW3		COG1							99719.4		138817	97308.6	
Q8WTW4	Q8WTW4		NPRL2		136270	11562.5								45377.5
Q8WU76	Q8WU76		SCFD2		202540	92582.5	366846	105865	663949		310865	323836	801361	267118
Q8WU90	Q8WU90		ZC3H15		346341	434536				258776		220310	356565	
Q8WUA2	Q8WUA2		PPIL4		373448	258709		382208	294418		741181		452765	
Q8WUA4	Q8WUA4		GTF3C2		694821	450496	418641	557880	435348	297606	366966	675936	672971	386871
Q8WUM0	Q8WUM0		NUP133		516566	335374	701309	447451	520892	368467	433323	389600	218606	526980
Q8WUM4	Q8WUM4		PDCD6IP		654274	1.2132e+06	1.19523e+06	967434	1.26038e+06	614455	887967	496780	601585	635260
Q8WUP2	Q8WUP2		FBLIM1		1.08509e+06	680430	355176	783806	593407	517750	368359	366539	786960	680932
Q8WUW1	Q8WUW1		BRK1		1.37794e+06	1.22962e+06	886363	987543	1.07392e+06	984174	1.23492e+06	786541	673356	1.62701e+06
Q8WUY3	Q8WUY3		PRUNE2		117615	190139	335755	184607	358093	176288	575436	623314	66810	
Q8WV41	Q8WV41		SNX33						143645			66620.6		
Q8WVJ2	Q8WVJ2		NUDCD2		817184	850942	936639	435203	807747	722371	590682	1.00289e+06	671540	546252
Q8WVM7	Q8WVM7		STAG1		428870		52750.9	194595	185284	186770	57162.4	884256		598308
Q8WVM8	Q8WVM8		SCFD1		781954	1.19812e+06	1.44984e+06	994140	1.12729e+06	1.15e+06	935293	1.73142e+06	1.29793e+06	498918
Q8WVT3	Q8WVT3		TRAPPC12		858109	1.34433e+06	625139	722752	705430	1.10364e+06	717752	781449	763680	949486
Q8WVV4	Q8WVV4		POF1B		326743		1.85131e+06	406294		402399			346329	
Q8WVV9	Q8WVV9		HNRNPLL		426599	318065	228851	169069	111344	155260		429064	758906	483715
Q8WVY7	Q8WVY7		UBLCP1		910144	503656	783160	774005	1.54345e+06	586199	705491	827128	795718	806803
Q8WW52	Q8WW52		FAM151A		147200	2.03183e+06		1.44956e+06		1.87564e+06		368395		
Q8WW59	Q8WW59		SPRYD4		1.30828e+06	2.81768e+06	476924	2.45505e+06	369228	2.61668e+06	1.04998e+06	966852	1.91783e+06	378253
Q8WWI1	Q8WWI1		LMO7		994423	540183	591524	1.17908e+06	731189	973013	398780	367466	1.73286e+06	337538
Q8WWM9	Q8WWM9		CYGB		1.27581e+06	1.37e+06	1.27281e+06	1.64821e+06	2.85529e+06	1.21388e+06	4.10267e+06	1.80671e+06	913905	2.29368e+06
Q8WWP7	Q8WWP7		GIMAP1		103509			120537	268251		73550.9	534764	182887	566287
Q8WWT9	Q8WWT9		SLC13A3		986166	2.08371e+06		3.60517e+06		4.70331e+06				
Q8WWX9	Q8WWX9		SELENOM		568543	53477.9	456354	354376	308047			675212	375535	261075
Q8WWY3	Q8WWY3		PRPF31		1.39242e+06	1.39411e+06	1.36974e+06	1.54322e+06	1.24336e+06	1.40723e+06	992497	1.37916e+06	1.34692e+06	1.39168e+06
Q8WX92	Q8WX92		NELFB		243916	238954	147661	227190	57695.6	140080	363245	124398	239877	117266
Q8WX93	Q8WX93		PALLD		6.15688e+06	2.62866e+06	1.60901e+06	3.16623e+06	1.99775e+06	2.59328e+06	1.34905e+06	2.6868e+06	6.59363e+06	2.93192e+06
Q8WXE0	Q8WXE0		CASKIN2		133296			104092	113698		274884	231892	268157	
Q8WXF1	Q8WXF1		PSPC1		558269	595212	727882	851562	953246	305547	1.27332e+06	537859	997924	749518
Q8WXF7	Q8WXF7		ATL1		675700	437656	849092			252366	392278	650366	290689	
Q8WXH0	Q8WXH0		SYNE2		770842	759559	515532	719669	325784	694798	564690	562235	705714	541645
Q8WXX5	Q8WXX5		DNAJC9		1.04437e+06	761416	1.26269e+06	551563	626800	847219		1.23628e+06	867908	1.55002e+06
Q8WY54	Q8WY54		PPM1E			171648		171058		82771.2	42787.7		35265.1	
Q8WYA6	Q8WYA6		CTNNBL1						161906	254460		180935		
Q8WZ42	Q8WZ42		TTN		5.42922e+06		1.67735e+07						3.77554e+06	
Q8WZA9	Q8WZA9		IRGQ		500032	790050	895286	503588	884921	497094	940668	1.19215e+06	424539	494474
Q92485	Q92485		SMPDL3B		176677	459579		193957					255767	
Q92499	Q92499		DDX1		3.28635e+06	3.56047e+06	3.27905e+06	3.7437e+06	2.7887e+06	4.07342e+06	2.96623e+06	2.47137e+06	3.7885e+06	3.55479e+06
Q92530	Q92530		PSMF1		1.41219e+06	1.74978e+06	3.35746e+06	1.19078e+06	1.72077e+06	748728	1.98917e+06	1.34392e+06	1.33941e+06	1.1108e+06
Q92538	Q92538		GBF1		205977	313286	419757	266602	285039	246359	254908	194956	302714	161440
Q92552	Q92552		MRPS27		529392	953400	137758	765674	495854	656647	217728	115815	398670	236041
Q92556	Q92556		ELMO1		69870.2		317070	170829	209188	137229				720489
Q92558	Q92558		WASF1			235240				294113		110054		
Q92597	Q92597		NDRG1		5.63828e+06	1.04921e+07	1.72102e+07	6.83427e+06	2.06368e+07	9.68585e+06	3.90852e+07	3.85041e+07	4.5338e+06	2.95368e+07
Q92598	Q92598		HSPH1		2.4353e+06	1.87601e+06	2.31592e+06	1.23997e+06	1.91723e+06	2.49865e+06	1.00002e+06	733324	1.56025e+06	1.21642e+06
Q92599	Q92599		SEPTIN8		2.56767e+06	1.98995e+06	2.4007e+06	1.4332e+06	2.65524e+06	1.85895e+06	3.02664e+06	4.36829e+06	2.66314e+06	4.82035e+06
Q92608	Q92608		DOCK2		116030	107504	104272	16167.3	235267		81987.7	170173	134625	273800
Q92609	Q92609		TBC1D5		627678	743657	500822	822084	654968	414290	538428	375725	694434	454182
Q92614	Q92614		MYO18A		394686	474808	596816	436779	388602	473453	556052	362070	398499	439866
Q92615	Q92615		LARP4B			117846	112137	112585	155031	87035.9	141967	112383	118742	
Q92616	Q92616		GCN1		3.07637e+06	2.68296e+06	2.91024e+06	3.0071e+06	2.87903e+06	2.11799e+06	2.32105e+06	2.76739e+06	2.79652e+06	1.77146e+06
Q92620	Q92620		DHX38		94466.7	89592.1	166866	69970.3	75590.5	20883.9	154755	178962	105427	42659.9
Q92621	Q92621		NUP205		670069	573870	604702	623580	749609	502082	845835	727771	646395	762489
Q92626	Q92626		PXDN		686370	789835	1.59929e+06	654632	1.97611e+06	1.41806e+06	1.63347e+06	3.58068e+06	1.06498e+06	9.86797e+06
Q92665	Q92665		MRPS31		892635	1.18486e+06	386727	1.00063e+06	502370	914474	372606	392979	644832	
Q92667	Q92667		AKAP1		471722	564695	515342	601641	260490	460402	467143	354302	424240	291755
Q92673	Q92673		SORL1		326005	284662	246722	581481	607517	255150	181395	480488	737176	642489
Q92696	Q92696		RABGGTA		1.10982e+06	1.19837e+06	944213	1.20858e+06	1.32419e+06	1.20986e+06	515530	1.56766e+06	907454	1.1477e+06
Q92734	Q92734		TFG		3.64063e+06	2.18953e+06	1.6857e+06	4.44214e+06	3.54509e+06	5.16578e+06	2.2401e+06	5.57115e+06	4.3878e+06	3.95543e+06
Q92747	Q92747		ARPC1A		759793	1.00205e+06	373403	1.18006e+06	1.06103e+06	1.09319e+06	652370	716409	711561	919481
Q92785	Q92785		DPF2		32815.5	52565.6		91803.2	44835.3	68799.9			98501.1	43038.4
Q92796	Q92796		DLG3		751594	292836	327271	954933	448550	351220	653573	479674	1.45367e+06	222850
Q92797	Q92797		SYMPK		705238	744681	805848	869456	428152	898118	595984	700089	813567	723369
Q92817	Q92817		EVPL		477321	261325	103760	363086	136172	146366	49112.3	77346.5	584190	135513
Q92820	Q92820		GGH		946691	5.0893e+06		2.79501e+06	219363	2.42725e+06			763186	
Q92823	Q92823		NRCAM		3.03429e+06	1.80923e+06		4.61681e+06	2.07027e+06	1.89379e+06	1.754e+06	1.44617e+06	3.61899e+06	1.25925e+06
Q92835	Q92835		INPP5D											276960
Q92841	Q92841		DDX17		2.66536e+06	2.27625e+06	2.44218e+06	2.01287e+06	1.4783e+06	1.95039e+06	2.85419e+06	2.07463e+06	3.04405e+06	3.4427e+06
Q92854	Q92854		SEMA4D		383259	66908.7		1.05276e+06		162662		86407.3	192106	
Q92871	Q92871		PMM1		250408	157345	465852	252148		249721	409515	376106	49784.2	471189
Q92878	Q92878		RAD50		570667	640568	818591	414281	712962	356733	441109	956023	859934	324695
Q92882	Q92882		OSTF1		801253	479793	861176	518255	1.12261e+06	305995	951563	558853	451835	935778
Q92888	Q92888		ARHGEF1		1.29942e+06		426180	646977	366957	1.61598e+06	404706	398555	308495	551712
Q92890	Q92890		UFD1		2.63002e+06	2.64264e+06	3.30017e+06	1.16635e+06	1.32721e+06	3.58551e+06	2.67086e+06	1.71825e+06	1.61957e+06	3.19182e+06
Q92896	Q92896		GLG1		1.45197e+06	1.18948e+06	831490	1.07557e+06	1.1867e+06	1.16965e+06	666890	1.97732e+06	889610	602612
Q92900	Q92900		UPF1		1.76016e+06	1.83546e+06	1.68515e+06	1.96572e+06	1.03128e+06	1.68936e+06	1.29788e+06	1.27602e+06	1.88882e+06	1.48354e+06
Q92928	Q92928		RAB1C		1.71538e+06	1.26227e+06	799201	1.75445e+06	1.62538e+06	1.23768e+06	1.0642e+06	2.33631e+06	1.48893e+06	1.34794e+06
Q92959	Q92959		SLCO2A1		36283.1	18239.4	10110.8			41117.8	39644.1			24581.6
Q92973	Q92973		TNPO1		1.78672e+06	857660	1.40212e+06	1.3203e+06	1.20983e+06	1.17907e+06	1.31391e+06	1.79979e+06	2.51338e+06	1.24771e+06
Q92979	Q92979		EMG1				1.07531e+06	463092	905888	418070	814309		454252	754781
Q92990	Q92990		GLMN		300726	275073	243124	232722	940984	299457	450086	331125		378940
Q93008	Q93008		USP9X		725441	675562	651291	738503	738989	804937	678935	796656	789489	689145
Q93050	Q93050		ATP6V0A1		985149	2.21045e+06	1.02092e+06	1.54368e+06	851783	3.07318e+06	1.03341e+06	1.14326e+06	535146	1.51038e+06
Q93052	Q93052		LPP		3.17936e+06	2.63309e+06	1.19569e+06	2.47689e+06	3.199e+06	2.51855e+06	2.12065e+06	3.04004e+06	2.42018e+06	3.02692e+06
Q93084	Q93084		ATP2A3						236356		264053	135272	271436	528320
Q93088	Q93088		BHMT		2.09364e+06	1.13771e+07	168757	9.29613e+06	456965	8.04e+06	2.82121e+06	2.43142e+06	1.95499e+06	1.42873e+06
Q93099	Q93099		HGD		6.05779e+06	1.68452e+07	2.39859e+06	7.91312e+06	6.44083e+06	9.32079e+06	2.96503e+06	6.15037e+06	5.49201e+06	1.66163e+06
Q93100	Q93100		PHKB		50285.2		157119			56508.6	213700	70538	46181.4	64951.6
Q969G5	Q969G5		CAVIN3		4.82898e+06	1.08803e+06	2.64394e+06	1.39616e+06	5.44556e+06	740868	6.58494e+06	4.16636e+06	2.16119e+06	6.94982e+06
Q969I3	Q969I3		GLYATL1		3.75118e+06	1.58731e+07		7.21123e+06	916737	1.37896e+07	1.4778e+06	630851	2.33943e+06	292926
Q969J3	Q969J3		BORCS5		289422	303986	266361	314981	290362	196242	594933		410182	429688
Q969Q5	Q969Q5		RAB24		848178	626562		560062	1.42701e+06	807178	1.88599e+06	399939	500072	538962
Q969S3	Q969S3		ZNF622		163438	123040	214752	110664	223307	130837	150990	199684	130915	105210
Q969S9	Q969S9		GFM2		385762	584367	137050			1.05522e+06	173527		305257	188661
Q969U6	Q969U6		FBXW5		216752	154464	72107.3		155494		217551	288381		
Q969U7	Q969U7		PSMG2			654586	597985	835418	612918	1.06916e+06	609597	458274	400888	389073
Q969V3	Q969V3		NCLN		721841	534486	684710	455697	588816			1.38842e+06	795405	
Q969X5	Q969X5		ERGIC1		315120	258810	1.62882e+06	216139	2.43968e+06	276843	750711	2.09857e+06	354982	1.37044e+06
Q969Y2	Q969Y2		GTPBP3		77917	45719	166866	297967	82595.5	165812	500635	69344	60099.5	
Q96A26	Q96A26		FAM162A		706124	872907	534001	510421	1.60664e+06	348390	1.50329e+06		524497	1.00609e+06
Q96A65	Q96A65		EXOC4		667121	653765	680079	607075	865418	608171	1.00327e+06	935716	743945	716583
Q96AC1	Q96AC1		FERMT2		2.21965e+06	917250	1.18478e+06	2.13852e+06	1.59984e+06	1.3684e+06	1.43929e+06	1.60726e+06	2.07775e+06	999265
Q96AG3	Q96AG3		SLC25A46		1.25105e+06	1.35645e+06			762633	1.46489e+06		482695	1.31046e+06	1.03427e+06
Q96AP7	Q96AP7		ESAM		1.13638e+06	936145	584088	1.09408e+06	865788	517879	2.12421e+06	2.45717e+06	1.47427e+06	1.46907e+06
Q96AQ6	Q96AQ6		PBXIP1		958015	892869	1.10459e+06	713364	2.0251e+06	411152	872634	2.56785e+06	893409	774133
Q96BI1	Q96BI1		SLC22A18		1.01188e+06	1.11618e+06		1.26969e+06	1.01217e+06	1.62629e+06		1.2161e+06	488289	
Q96BJ8	Q96BJ8		ELMO3		659510	733916		526294	644027	514533	630746	1.38352e+06	832921	97141.4
Q96BM9	Q96BM9		ARL8A		224728	302946	86293.4	480085	236837	435378	162391	326565	402209	300131
Q96BP2	Q96BP2		CHCHD1		1.23785e+06	2.26779e+06	289568	1.52038e+06	495790	1.8667e+06		1.16281e+06	1.10596e+06	208113
Q96BP3	Q96BP3		PPWD1		221835	165708		322978	219571	119359	63119.6	242093	295268	
Q96BR1	Q96BR1		SGK3			35309			79582.8			82038.4	80718.5	
Q96BW5	Q96BW5		PTER		8.85259e+06	1.35219e+07	1.76205e+06	8.14867e+06	5.18745e+06	5.82895e+06	9.91694e+06	7.86732e+06	6.14346e+06	4.12758e+06
Q96C11	Q96C11		FGGY		4.85832e+06	4.56832e+06		6.38087e+06	1.15011e+07	3.15901e+06		9.39189e+06	4.7517e+06	
Q96C19	Q96C19		EFHD2		3.08146e+06	1.82578e+06	6.65995e+06	1.58605e+06	4.18699e+06	2.82717e+06	3.74101e+06	4.3483e+06	2.07597e+06	6.78755e+06
Q96C23	Q96C23		GALM		654984	1.34148e+06	154662	1.08518e+06	38525.2	1.61169e+06		162697	1.44133e+06	131163
Q96C86	Q96C86		DCPS		380969	441276	520205	278135	272906	227415	364314	393083	584649	581238
Q96CB9	Q96CB9		NSUN4		949142	1.09316e+06	500307	851874	441882	1.25365e+06	260323	482749	439169	312512
Q96CD0	Q96CD0		FBXL8		1.3732e+06	1.62855e+06	4.03057e+06	1.61385e+06	5.08818e+06	1.30171e+06	3.14649e+06	5.56819e+06	940960	1.42469e+06
Q96CM8	Q96CM8		ACSF2		5.29838e+06	2.05157e+07	596220	1.26176e+07	279717	2.06045e+07		1.16213e+06	5.47495e+06	1.17729e+06
Q96CN7	Q96CN7		ISOC1		3.58113e+06	3.30199e+06	1.0193e+07	9.03654e+06		2.20652e+06		4.20358e+06	6.66733e+06	
Q96CS3	Q96CS3		FAF2		312039	169788	405532	223648	958748	307000	209693	1.23286e+06	280997	228777
Q96CT7	Q96CT7		CCDC124				121460		60787.7		53645.1	33988.5	52590.9	
Q96CV9	Q96CV9		OPTN		50306.7			37118.7						33448.7
Q96CW1	Q96CW1		AP2M1		984969	748378	671304	860525	881936	852888	691796	708246	624922	635240
Q96CX2	Q96CX2		KCTD12		3.58438e+06	1.45873e+06	1.44656e+06	1.99571e+06	2.84385e+06	1.2729e+06	1.14622e+06	1.82577e+06	2.68083e+06	3.89436e+06
Q96D15	Q96D15		RCN3				64489							37096.4
Q96D46	Q96D46		NMD3			321390	221762		267171			517931	308310	
Q96D71	Q96D71		REPS1		73876.1			98772.8		61315.1	127773			
Q96DB5	Q96DB5		RMDN1		1.52022e+06	2.00202e+06	1.53132e+06	1.68983e+06	1.27723e+06	1.57729e+06	1.71413e+06	1.95226e+06	2.03281e+06	973912
Q96DC8	Q96DC8		ECHDC3		6.77101e+06	1.36473e+07	406512	1.05552e+07	3.40611e+06	1.81079e+07	2.50549e+06	2.23017e+06	4.23031e+06	344908
Q96DE0	Q96DE0		NUDT16		142228	349356		147320		334119	399106	131968		301028
Q96DG6	Q96DG6		CMBL		443479	2.70475e+06	1.78927e+06	698143	238432	1.67686e+06	3.76493e+06	200786	469831	692685
Q96DI7	Q96DI7		SNRNP40		1.97105e+06	1.53256e+06	2.08669e+06	1.8375e+06	1.32271e+06	1.18968e+06	1.67592e+06	1.93951e+06	1.90776e+06	1.97012e+06
Q96DV4	Q96DV4		MRPL38		654828	847037		794445	316105	872482	211855	131631	619016	68690.9
Q96E39	Q96E39		RBMXL1		1.06196e+06	194470			233675		169698	111831		
Q96EB1	Q96EB1		ELP4		176934	63956.2	77166.2	115631	109706			105694	91357.7	
Q96ED9	Q96ED9		HOOK2		292722	663908		408584	234319	376882	395226	395734	422403	
Q96EK7	Q96EK7		FAM120B			237665	394968	291074	424533	239741		275647	339907	
Q96EL3	Q96EL3		MRPL53		936426	610880	265572	1.14222e+06	944202	734411	366837	454780	1.00434e+06	291272
Q96EM0	Q96EM0		L3HYPDH			769824		1.20148e+06	726199	330504	1.19461e+06	670666	144468	
Q96ER3	Q96ER3		SAAL1				97537.6			74003.9			321725	125738
Q96EV8	Q96EV8		DTNBP1		184434	252041	301048	245727	682230	116332	240688	263949		
Q96EY7	Q96EY7		PTCD3		389254	558480		455536	161154	641576	276624	345737	369762	
Q96EY8	Q96EY8		MMAB		608195	625002	956818	838873	477819	908193	307542	320108	424715	325556
Q96F07	Q96F07		CYFIP2		2.13632e+06	1.24286e+06	782317	2.37362e+06	1.67749e+06	1.39186e+06	660195	1.05742e+06	2.4896e+06	667377
Q96F25	Q96F25		ALG14						389880			273577	43799.1	
Q96FC7	Q96FC7		PHYHIPL		788742	1.50988e+06	703051	1.14862e+06	456784	1.11878e+06	1.01782e+06	1.25152e+06	933681	326676
Q96FF7	Q96FF7		MISP3		108030	172518	68666.6	119262	6384.39	130474			111364	
Q96FL8	Q96FL8		SLC47A1		291037	1.26078e+06	34999.9	728196	36018.2	457395	639364	565131	145362	
Q96FN4	Q96FN4		CPNE2		50127.1		61631.2	49811.7	271796		178127	53672.7		
Q96FN5	Q96FN5		KIF12		182020	294627		361560		174348		225816	225925	
Q96FQ6	Q96FQ6		S100A16		1.33404e+06	569679	971731	744921	892124	730593	1.13969e+06	1.03487e+06	1.07755e+06	1.02595e+06
Q96FV2	Q96FV2		SCRN2		3.04434e+06	4.5295e+06	1.61061e+06	6.17823e+06	2.62533e+06	2.07434e+06	1.66696e+06	3.83721e+06	2.54233e+06	
Q96FV9	Q96FV9		THOC1		320214	276028		228207		176122	360768	381872	421939	
Q96FW1	Q96FW1		OTUB1		4.04167e+06	4.16225e+06	3.18493e+06	5.32932e+06	6.60642e+06	3.55718e+06	2.62184e+06	5.86476e+06	3.95169e+06	3.91956e+06
Q96FX7	Q96FX7		TRMT61A		451781	295939	611892	471454	375989	172569	267454	249195	476856	183399
Q96G03	Q96G03		PGM2		6.52483e+06	5.21223e+06	3.72524e+06	3.33289e+06	4.89079e+06	3.19134e+06	6.17289e+06	6.25174e+06	5.84766e+06	6.17036e+06
Q96GA7	Q96GA7		SDSL		2.53594e+06	3.31978e+06	1.70046e+06	4.04691e+06	2.10082e+06	3.77213e+06		913431	3.04339e+06	1.01889e+06
Q96GC5	Q96GC5		MRPL48		469528	1.27238e+06		1.14984e+06	957990	401434	1.95634e+06	358650	1.38198e+06	2.95865e+06
Q96GC9	Q96GC9		VMP1		350901	665504	718306		506389	488550	543655	560705	366947	
Q96GD0	Q96GD0		PDXP		161052	130041	343646	75336.7	117384	100218	549577	149470	145636	305773
Q96GE6	Q96GE6		CALML4			637771		308325		162773		262173	223658	
Q96GS4	Q96GS4		BORCS6		80396.5	51545.1	64707.8		15007.1		11539.2	38157.8		
Q96GX9	Q96GX9		APIP		1.99175e+06	1.35495e+06	1.21458e+06	2.32318e+06	1.47954e+06	1.13177e+06	953872	1.3032e+06	2.98535e+06	1.73268e+06
Q96H79	Q96H79		ZC3HAV1L		739420	238762	443510	529266	1.39803e+06	295354	549110	1.3937e+06	600168	417171
Q96HC4	Q96HC4		PDLIM5		2.07183e+06	2.42711e+06	1.00456e+06	2.33669e+06	1.00553e+06	2.64095e+06	506112	1.38725e+06	2.36549e+06	1.1885e+06
Q96HD1	Q96HD1		CRELD1		1.45439e+06	1.11006e+06	2.12378e+06		1.60788e+06	1.14293e+06		681570	902353	
Q96HD9	Q96HD9		ACY3		1.66678e+06	4.71211e+06		3.49948e+06	1.31537e+06	3.68939e+06	777088	1.82858e+06	2.64485e+06	694173
Q96HE7	Q96HE7		ERO1A		721212	801312	4.38013e+06	629753	2.99165e+06	393507	2.09395e+06	6.36105e+06	804754	1.92966e+06
Q96HP0	Q96HP0		DOCK6		245706	592787	351359	241826	235636	134042	648371	196227	146716	222597
Q96HP4	Q96HP4		OXNAD1		431318	359117		491736		644572			260198	
Q96HR8	Q96HR8		NAF1		116449	118551		120335		100156		234331	261930	126417
Q96HS1	Q96HS1		PGAM5		701150	1.12918e+06	806742	885289	394550	1.13065e+06	529675	614807	882801	399397
Q96HU8	Q96HU8		DIRAS2						40657.6			78327.5		
Q96HY6	Q96HY6		DDRGK1		183914	261153	732775	259293	1.26023e+06		438688	375015	252766	
Q96HY7	Q96HY7		DHTKD1		3.03905e+06	8.56931e+06	1.11682e+06	4.88759e+06	1.06659e+06	5.36779e+06	987766	1.68283e+06	1.63597e+06	437533
Q96I15	Q96I15		SCLY		511501	895154	351057	1.01899e+06	501694	673967	151219	414784	717343	324929
Q96I99	Q96I99		SUCLG2		3.49664e+07	2.60879e+07	1.04226e+07	2.99218e+07	7.34626e+06	2.59986e+07	7.35323e+06	2.95294e+06	5.41048e+07	5.94819e+06
Q96IJ6	Q96IJ6		GMPPA		2.65261e+06	3.25526e+06	2.98082e+06	2.24084e+06	1.13498e+06	2.19439e+06	889963	2.55893e+06	2.21314e+06	1.06112e+06
Q96IU4	Q96IU4		ABHD14B		8.36246e+06	1.59479e+07	1.9454e+06	1.13013e+07	8.98976e+06	7.29141e+06	3.71782e+06	4.77738e+06	5.6869e+06	1.5269e+06
Q96IV0	Q96IV0		NGLY1		217528	281120	182476	188797		233509	190633	156295	384420	
Q96J01	Q96J01		THOC3		487826	463130	728966		485287	190368		332555	640475	591930
Q96J02	Q96J02		ITCH			175040			369610	213661		146553	187511	
Q96JB2	Q96JB2		COG3			404047	290826	256393	149901		119812	751338	284755	
Q96JB6	Q96JB6		LOXL4			755256		690741					1.1786e+06	
Q96JC1	Q96JC1		VPS39		127275	178366	144491	137475	235120	123717	110620	282313	311713	212767
Q96JE9	Q96JE9		MAP6		88200.9	175443		155652		539225			49436.6	
Q96JG6	Q96JG6		VPS50		79009.8		163489	80967.1	195298		252568	354598	315597	119296
Q96JH7	Q96JH7		VCPIP1			563483		289859	363772	213485	1.11451e+06	419350	551772	
Q96JJ7	Q96JJ7		TMX3		396285		714887	228316	510950	80864	397658	517718		551697
Q96JM3	Q96JM3		CHAMP1		300466	248412			326810	216112		297132	423780	
Q96JQ2	Q96JQ2		CLMN			1.75463e+06	47437.3	288837	447794	381123	799899	485034	464319	179782
Q96JX3	Q96JX3		SERAC1		183086	262879							264670	
Q96JY6	Q96JY6		PDLIM2		1.08645e+06	4.68651e+06	299446	2.21364e+06	327249	4.30312e+06	809275	794068	738245	
Q96K17	Q96K17		BTF3L4		1.0986e+06	990632	1.24625e+06	1.03063e+06	881179	861945	1.31369e+06	1.95409e+06	3.17984e+06	1.28008e+06
Q96K21	Q96K21		ZFYVE19		71951.7	58363.5	70801.2	56255.1	78482	67428.8	36731.6	39299.2		39813.6
Q96K37	Q96K37		SLC35E1		308829	398491	835296	461209	304924	395475	410303	488639	381244	854526
Q96KA5	Q96KA5		CLPTM1L		550372	833556	858039	332166	2.37664e+06	717481	520383	3.02462e+06	489890	570026
Q96KG9	Q96KG9		SCYL1		118955			68443.2	47669.7	92825.9		41852.9	19695.6	
Q96KN1	Q96KN1		LRATD2		654135	750742	928290	666814	200652	631222	254042	911394	899815	
Q96KP1	Q96KP1		EXOC2		853621		373907	731516	616632	607659	310121	780210	774428	236990
